apName,protocol,ssid
175,DOT11AC,eduroam
176,DOT11AC,NUS_STU
176,DOT11N2_4GNZ,NUS_STU
176,DOT11N2_4GNZ,NUS_STU_2-4GHz
177,DOT11AC,NUS_STU
177,DOT11N2_4GNZ,eduroam
177,DOT11N5GHZ,NUS_STU
177,DOT11N2_4GNZ,NUS_STU
177,DOT11N2_4GNZ,NUS_STU_2-4GHz
177,DOT11AC,eduroam
178,DOT11AC,NUS_STU
178,DOT11N5GHZ,NUS_STU
178,DOT11N2_4GNZ,NUS_STU
178,DOT11N2_4GNZ,NUS_STU_2-4GHz
179,DOT11AC,NUS_STU
179,DOT11N2_4GNZ,NUS_STU
179,DOT11N2_4GNZ,NUS_STU_2-4GHz
180,DOT11N5GHZ,NUS_STU
180,DOT11N2_4GNZ,NUS_STU
180,DOT11N2_4GNZ,NUS_STU_2-4GHz
181,DOT11AC,NUS_STU
181,DOT11N2_4GNZ,NUS_STU
181,DOT11N2_4GNZ,NUS_STU_2-4GHz
182,DOT11N5GHZ,NUS_STU
182,DOT11N2_4GNZ,NUS_STU
182,DOT11N5GHZ,eduroam
182,DOT11N2_4GNZ,NUS_STU_2-4GHz
183,DOT11N2_4GNZ,NUS_STU
183,DOT11N2_4GNZ,NUS_STU_2-4GHz
184,DOT11N5GHZ,NUS_STU
185,DOT11AC,NUS_STU
185,DOT11N2_4GNZ,eduroam
185,DOT11N5GHZ,NUS_STU
185,DOT11N2_4GNZ,NUS_STU
185,DOT11N2_4GNZ,NUS_STU_2-4GHz
185,DOT11AC,eduroam
186,DOT11AC,NUS_STU
186,DOT11N2_4GNZ,NUS_STU
187,DOT11AC,NUS_STU
188,DOT11N5GHZ,NUS_STU
188,DOT11N2_4GNZ,NUS_STU
188,DOT11N2_4GNZ,NUS_STU_2-4GHz
189,DOT11N2_4GNZ,NUS_STU
190,DOT11N5GHZ,NUS_STU
190,DOT11N2_4GNZ,NUS_STU
190,DOT11N5GHZ,eduroam
190,DOT11N2_4GNZ,NUS_STU_2-4GHz
191,DOT11N5GHZ,NUS_STU
191,DOT11N2_4GNZ,NUS_STU_2-4GHz
192,DOT11AC,NUS_STU
192,DOT11N2_4GNZ,NUS_STU
192,DOT11N2_4GNZ,NUS_STU_2-4GHz
192,DOT11AC,eduroam
193,DOT11N2_4GNZ,NUS_STU
193,DOT11N2_4GNZ,NUS_STU_2-4GHz
194,DOT11AC,NUS_STU
194,DOT11N2_4GNZ,eduroam
194,DOT11N2_4GNZ,NUS_STU
194,DOT11N2_4GNZ,NUS_STU_2-4GHz
194,DOT11AC,eduroam
195,DOT11N5GHZ,NUS_STU
195,DOT11N2_4GNZ,NUS_STU
195,DOT11N2_4GNZ,NUS_STU_2-4GHz
196,DOT11N5GHZ,NUS_STU
196,DOT11N2_4GNZ,NUS_STU
196,DOT11N5GHZ,eduroam
196,DOT11N2_4GNZ,NUS_STU_2-4GHz
197,DOT11AC,NUS_STU
197,DOT11N2_4GNZ,NUS_STU
197,DOT11N2_4GNZ,NUS_STU_2-4GHz
198,DOT11N2_4GNZ,NUS_STU
198,DOT11N2_4GNZ,NUS_STU_2-4GHz
199,DOT11AC,NUS_STU
199,DOT11N2_4GNZ,NUS_STU
199,DOT11N2_4GNZ,NUS_STU_2-4GHz
199,DOT11AC,eduroam
